Dataset,Selection,Learning,Sparse,BinWeight,RMSE
1,0,0,80,0,0.0151134003193413
1,0,0,80,1,0.0151242061764535
1,0,0,90,0,0.0154668151833449
1,0,0,90,1,0.0154014393689109
1,0,4,80,0,NaN
1,0,4,80,1,NaN
1,0,4,90,0,NaN
1,0,4,90,1,NaN
1,10,0,80,0,0.0155521007731723
1,10,0,80,1,0.0155927632365452
1,10,0,90,0,0.0161668396705651
1,10,0,90,1,0.0161004431510349
1,10,4,80,0,NaN
1,10,4,80,1,NaN
1,10,4,90,0,NaN
1,10,4,90,1,NaN
2,0,0,80,0,0.0150929754196031
2,0,0,80,1,0.0150974171725705
2,0,0,90,0,0.0153765527530588
2,0,0,90,1,0.0154453548435825
2,0,4,80,0,NaN
2,0,4,80,1,NaN
2,0,4,90,0,NaN
2,0,4,90,1,NaN
2,10,0,80,0,0.0155780405901938
2,10,0,80,1,0.015594365400541
2,10,0,90,0,0.016149743016433
2,10,0,90,1,0.0160669029769045
2,10,4,80,0,NaN
2,10,4,80,1,NaN
2,10,4,90,0,NaN
2,10,4,90,1,NaN
3,0,0,80,0,0.0151070576546108
3,0,0,80,1,0.0151479320823394
3,0,0,90,0,0.0154526177641003
3,0,0,90,1,0.0154805931375688
3,0,4,80,0,NaN
3,0,4,80,1,NaN
3,0,4,90,0,NaN
3,0,4,90,1,NaN
3,10,0,80,0,0.015540285100259
3,10,0,80,1,0.0155711988379392
3,10,0,90,0,0.0160850017773987
3,10,0,90,1,0.01610463363616
3,10,4,80,0,NaN
3,10,4,80,1,NaN
3,10,4,90,0,NaN
3,10,4,90,1,NaN
