Dataset,NoFeatures,Baseline,relRMSE,lower,upper
1,0,0,19.0940172850462,18.747,19.441
1,0,10,20.3620495035441,-11.286,52.01
1,0,20,18.6411773981543,-0.698,37.98
1,0,30,19.697301929226,18.575,20.82
1,0,40,21.8632100712851,9.964,33.762
1,0,50,17.6718913312496,7.641,27.703
1,0,60,21.7795820250843,-0.781,44.34
1,0,70,10.0036683891448,-117.105,137.112
1,0,80,9.90612272883784,-115.963,135.775
1,0,90,10.4470054772951,-122.295,143.189
1,10,0,20.8977086293966,-11.364,53.159
1,10,10,19.5674651805094,-10.157,49.292
1,10,20,18.4048907375814,-14.097,50.907
1,10,30,19.5489355629355,-24.243,63.341
1,10,40,15.8322521766609,-28.094,59.759
1,10,50,20.3529027923946,-32.263,72.969
1,10,60,17.9574313650411,5.477,30.438
1,10,70,18.5356790637718,4.214,32.857
1,10,80,19.0169030426058,-11.17,49.204
1,10,90,19.6056995717305,-11.549,50.76
2,0,0,18.1669996054492,-5.266,41.6
2,0,10,17.9972159428632,6.482,29.512
2,0,20,18.9157530760014,6.141,31.69
2,0,30,19.1100183742818,-0.499,38.719
2,0,40,23.039747054964,6.399,39.681
2,0,50,19.0234503725704,2.497,35.55
2,0,60,22.6479867636629,12.027,33.269
2,0,70,24.434357577762,-2.426,51.294
2,0,80,17.4463862235419,2.039,32.853
2,0,90,20.8433149838093,10.91,30.776
2,10,0,20.6910712138364,15.686,25.697
2,10,10,22.152499050125,22.029,22.276
2,10,20,23.1584633525793,8.068,38.249
2,10,30,19.6266389706681,-22.094,61.348
2,10,40,18.7058949313336,-14.353,51.765
2,10,50,20.7683478686909,18.231,23.306
2,10,60,19.1936071813871,-0.711,39.098
2,10,70,23.0873787508122,14.33,31.844
2,10,80,20.074202870954,17.702,22.447
2,10,90,17.7107247463832,10.838,24.583
3,0,0,17.2929306921724,11.408,23.178
3,0,10,20.9885819898602,13.479,28.498
3,0,20,17.1045525678824,16.232,17.977
3,0,30,20.5571031229766,19.291,21.823
3,0,40,19.7218735385942,12.555,26.889
3,0,50,16.4231925421147,12.942,19.904
3,0,60,18.6953533295827,-3.111,40.502
3,0,70,22.4820314178924,-15.076,60.04
3,0,80,21.9404990424542,3.511,40.37
3,0,90,19.6403040433961,19.087,20.193
3,10,0,21.5807334934588,-42.098,85.259
3,10,10,20.8820740675244,-1.153,42.917
3,10,20,22.6349935745626,-0.594,45.864
3,10,30,19.8764472637504,-12.329,52.082
3,10,40,23.437966545607,-17.304,64.18
3,10,50,19.9879076894359,-3.964,43.94
3,10,60,19.2164022100335,4.528,33.905
3,10,70,19.7320667878232,9.826,29.638
3,10,80,19.6935395103837,3.9,35.487
3,10,90,8.86526611764426,-103.779,121.509
