Dataset,Selection,Baseline,Sparse,BinWeight,RMSE
1,0,1,0,0,0.0188977682239937
1,0,2,0,0,0.0188750808794436
1,0,3,0,0,0.0186852455686142
1,10,1,0,0,0.0189089884525836
1,10,2,0,0,0.0189661019697531
1,10,3,0,0,0.0186461968477482
2,0,1,0,0,0.0188416766195319
2,0,2,0,0,0.0189055151216418
2,0,3,0,0,0.0186791753223017
2,10,1,0,0,0.0189846843651448
2,10,2,0,0,0.0189044748587702
2,10,3,0,0,0.0186797514754207
3,0,1,0,0,0.0189185413311616
3,0,2,0,0,0.0188441023191981
3,0,3,0,0,0.0187470169040144
3,10,1,0,0,0.0189123833973567
3,10,2,0,0,0.0189705988939141
3,10,3,0,0,0.019023042177278
