Var1,Var2,Var3,Var4,Var5,result1,result2
1,0,0,80,0,8.37534530699594e+25,31.2283285940655
1,0,0,80,1,169.811589282339,67.1314233865849
1,0,0,90,0,3.92689474545834e+27,31.2728103401116
1,0,0,90,1,8273.9478226901,48.2890713851527
1,10,0,80,0,188.89398953533,54.3337434394667
1,10,0,80,1,183.04721606027,76.3197172110488
1,10,0,90,0,210.232897671081,42.0337774719589
1,10,0,90,1,192.826607703433,52.8589041113998
2,0,0,80,0,8.47008277251517e+27,28.5544653381159
2,0,0,80,1,169.940921002443,66.3176891608828
2,0,0,90,0,1.03600604652679e+28,27.3782107285531
2,0,0,90,1,200.374401628382,48.7501166393764
2,10,0,80,0,187.517883561345,55.1083756739318
2,10,0,80,1,179.418694210083,77.3653994805961
2,10,0,90,0,201.61394698689,41.2969962890936
2,10,0,90,1,189.715486090034,52.7498314968634
3,0,0,80,0,5.44110187416378e+24,30.7053754138505
3,0,0,80,1,169.641393156147,65.4419378958738
3,0,0,90,0,1.13717210734559e+27,26.7336754955024
3,0,0,90,1,217.120328737184,49.6705866635551
3,10,0,80,0,190.905175653626,54.8149733968542
3,10,0,80,1,178.03491250063,78.556383990529
3,10,0,90,0,208.987455065167,42.7130502325773
3,10,0,90,1,192.002262018352,52.0688875155099
